name,season,description,soil_type,growth_duration_days,optimal_temperature,optimal_humidity,optimal_soil_moisture,water_required_mm_per_week,fertilizer_required,expected_yield_per_hectare
Arhar,Kharif,"Imported from Kaggle dataset. Common states: Arunachal Pradesh, Chhatisgarh, Madhya Pradesh, etc.",Loamy,160,32.5,60,50,25,"NPK,Rhizobium",0.0
Bajra,Kharif,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Andhra Pradesh, Chandigarh, etc.",Loamy,48,30.07,60,50,25,"Nitrogen,Phosphorus,Potash",70414.48
Banana,Rabi,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Arunachal Pradesh, Dadra Nagar Haveli and Daman and Diu, etc.",Loamy,368,28.52,60,50,25,NPK,89485.0
Barley BH-902,Rabi,Imported from Kaggle dataset. Common states: Himachal Pradesh,Loamy,65,17.5,60,50,25,NPK,43500.0
Barley Pusa Losar (BH- 380),Rabi,"Imported from Kaggle dataset. Common states: Goa, Haryana, Jammu and Kashmir, etc.",Loamy,66,18.5,60,50,25,NPK,43500.0
Black Gram,Rabi,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Assam, Bihar, etc.",Loamy,78,30.05,60,50,25,NPK,50058.97
Black Pepper,Rabi,"Imported from Kaggle dataset. Common states: Bihar, Chhatisgarh, Delhi, etc.",Loamy,135,27.52,60,50,25,"Lime,Dolomite",0.0
Cardamom,Kharif,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Andhra Pradesh, Delhi, etc.",Loamy,732,22.52,60,50,25,NPK,0.0
Cashewnut,Rabi,"Imported from Kaggle dataset. Common states: Assam, Karnataka, Kerela, etc.",Loamy,1032,25.02,60,50,25,"Manure,NPK",91548.76
Castor Seed,Kharif,"Imported from Kaggle dataset. Common states: Madhya Pradesh, Punjab, Telangana",Loamy,6,23.0,60,50,25,"Phosphorus,Calcium,Sulfur",0.0
Chillies,Kharif,"Imported from Kaggle dataset. Common states: Bihar, Karnataka",Loamy,42,22.5,60,50,25,"Compost,Nitrogen,Phosphorus",0.0
Clove,Kharif,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Arunachal Pradesh, Bihar, etc.",Loamy,150,30.04,60,50,25,NPK,0.0
Cocoa,Rabi,"Imported from Kaggle dataset. Common states: Chhatisgarh, Delhi, Lakshadweep, etc.",Loamy,165,26.5,60,50,25,"Nitrogen,Potassium,Phosphorus,Sulphur,Calcium,Magnesium,Boron,Zinc",80000.0
Coffee,Kharif,"Imported from Kaggle dataset. Common states: Assam, Goa, Kerela, etc.",Loamy,255,21.5,60,50,25,"Nitrogen,Ammonium Nitrate",0.0
Cotton CICR-3 (CISA 614),Kharif,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Haryana, Manipur",Loamy,112,23.0,60,50,25,NPK,0.0
Cotton CNH012,Kharif,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Haryana, Manipur, etc.",Loamy,115,22.5,60,50,25,NPK,0.0
Cotton VBCH 2231,Kharif,Imported from Kaggle dataset. Common states: Pudducherry,Loamy,100,23.5,60,50,25,NPK,0.0
Cowpea,Kharif,"Imported from Kaggle dataset. Common states: Mizoram, Odisha, Punjab",Clay,68,31.0,60,50,25,NPK,0.0
Dry Ginger,Kharif,"Imported from Kaggle dataset. Common states: Kerela, Mizoram, Odisha, etc.",Loamy,178,31.5,60,50,25,NPK,0.0
Flax,Rabi,"Imported from Kaggle dataset. Common states: Delhi, Himachal Pradesh, Meghalaya, etc.",Loamy,130,15.0,60,50,25,"NPK,Sulfur",0.0
Garlic,Rabi,"Imported from Kaggle dataset. Common states: Bihar, Chhatisgarh",Loamy,135,20.0,60,50,25,NPK,400000.0
Groundnut GPBD 5,Kharif,"Imported from Kaggle dataset. Common states: Bihar, Chhatisgarh, Madhya Pradesh",Loamy,116,26.0,60,50,25,"Superphosphate,Potassium",100177.47
Groundnut Girnar - 3 (PBS 12160),Kharif,"Imported from Kaggle dataset. Common states: Jharkhand, Pudducherry, Punjab, etc.",Loamy,178,25.0,60,50,25,"Superphosphate,Potassium",100177.47
Groundnut Kadiri Harithandhra (K 1319),Kharif,Imported from Kaggle dataset. Common states: Bihar,Loamy,116,25.5,60,50,25,"Superphosphate,Potassium",100177.47
Horse Gram,Rabi,"Imported from Kaggle dataset. Common states: Andaman and Nicobar Island, Chandigarh, Delhi, etc.",Loamy,150,27.0,60,50,25,"Manure,NPK",50058.97
